cluster,hn_title,news_title,news_domain,cosine_proxy,same_event
244,"Somewhere, I'm online and listening to music",岩手日報ONLINE,iwate-np.co.jp,0.24909751117229462,
370,Show HN: Free tool matches your startup or nonprofit to open federal grants,Call for Applications : PromoScience Grant Program ( Canada ) ,www2.fundsforngos.org,0.3885897994041443,
119,Motel – A 1989 Documentary [video],Namibia : Herero Chicken Ruffles Feathers At Namboer Auction,allafrica.com,0.029575634747743607,
212,You matter more than you think,  There Can Only Be One Queen : MIL Thinks She More Important Than The Bride,boredpanda.com,0.23080435395240784,
177,Cuban Missile Crisis II – Cuban Has Drones Capable of Striking the USA,"Donald Trump housing bill dispute : President downplays bipartisan landmark housing bill , argues SAVE America Act is more impactful",abc7.com,0.1355491280555725,
19,1975 GE Fake LED Clock [video],Tin tức Luật Giáo dục quốc phòng - Hình ảnh và video clip nóng mới nhất,baomoi.com,0.2816183269023895,
258,Multi-Cloud DocumentDB Deployment (Kubernetes Operator),"Tigera Launches Lynx , a Unified Control Plane for Kubernetes - native AI Agents",finanznachrichten.de,0.35826143622398376,
87,The Oracle Problem,"Sinoptikai skelbia , kokių orų sulauksime artimiausiu metu ir kada bent kiek atšils",lrytas.lt,0.20608481764793396,
352,New $500M Artillery Shell Plant Failed to Produce Any 155mm Parts,"The Best Shark Beauty Tools in 2026 , According to ELLE Editors",elle.com,-0.007836202159523964,
206,Circle of Empathy,"Meet Kin , a New AI - powered Influencer Marketing Platform",wwd.com,0.24278227984905243,
179,'Music was my first desire': Anthony Hopkins releases his debut single,"ChatGPT to debut on Pentagon GenAI . mil in  early July , OpenAI says",defenseone.com,0.17939135432243347,
269,That's an interesting starting point. Who is made out of meat?,"Bihar Farmers Abandon Cash Crops as Nilgai , Wild Boars Devastate Fields and Incomes",downtoearth.org.in,0.2463533580303192,
305,An orbiting disco ball gave Einstein's theory its most precise test yet,Psychology says people who wake up before sunrise arent just highly disciplined : Chronotype research suggests theyre often following their body internal timing,timesofindia.indiatimes.com,0.07413521409034729,
303,How to Start a Ruby Meetup,Where Do You Fall On The Hogwarts House Compass ? Quiz,buzzfeed.com,0.14908736944198608,
245,Appearently MV2/uBO extentions still works on Chrome 150,EaseUS Unveils New Update to Its Partition Manager Software - EaseUS Partition Master 20 . 5 with New Clean Hub to Streamline Space Management,prnewswire.com,0.17135927081108093,
371,Show HN: Duiduidui is a new Chinese dictionary and flashcard app,专注Agent构建 ， Amazon Bedrock AgentCore官宣重大更新,163.com,0.3517168164253235,
25,"The Life and Times of Maxis, Part 1: SimEverything",KI : Chinesische Modelle sind teilweise genauso gut wie Mythos von Anthropic,manager-magazin.de,0.3723214864730835,
89,Trump Pushes Out Members of Bipartisan Election Commission Ahead of Midterms,CNN poll : Nearly half of Americans dont consider themselves Democrats or Republicans,us.cnn.com,0.3187931776046753,
373,Changes to Our Contribution Policies,  Seems to be deriving pleasure from abusing RSS ... should respond to court summons : Karnataka Shiv Sena chief on Priyank Kharge remarks,aninews.in,0.09565240144729614,
260,Major Setbacks for Nvidia Kyber NVL144,"Did MSI Just Give Gamers , Overclockers a New Source of Ultra - High - Speed DDR5 ? ",pcmag.com,0.30562782287597656,
316,ChatGPT Remote Connection Failure,OpenAI moves GPT - 5 . 6 to general availability amid Chatgpt Outage price race,el-balad.com,0.41293901205062866,
286,Gene-edited babies are now closer. The ethical debate is far from settled,"Delulu Guy Thinks He Got The Girl , Has No Clue That His Behavior On First Date Utterly Disgusted Her",boredpanda.com,0.06956729292869568,
154,An Accounting Rule Inflated S&P 500's Q1 Earnings by 12%,International Business Machines ( IBM ) Upgraded by JPMorgan as Software Growth Boosts Outlook,finance.yahoo.com,0.21465986967086792,
11,Bring seamless PQC encryption into every messenger you already use,WhatsApp will allow usernames instead of phone numbers – NBC Connecticut,nbcconnecticut.com,0.2648296058177948,
239,"A Chemical from Car Tires May Be Linked to Alzheimer's, New Study Suggests","Bordi i Transparencës ndryshon përsëri çmimet e karburanteve , ulen nafta dhe benzina ! ",panorama.com.al,0.18195727467536926,
1,Show HN: Worldreleasenotes.com/Countries,國台辦批中國民眾聯繫窗口 陸委會 ： 各國行之有年 | 兩岸,cna.com.tw,0.2764878273010254,
209,Kitty: New Level of Mouse Support,Geeky Gadgets,geeky-gadgets.com,0.3766680359840393,
37,Show HN: Pulse v0.2.0,星巴克借AI自建工具 削减微软IBM软件开支 - CFi . CN 中财网,cfi.net.cn,0.16092851758003235,
77,Spanish government 'quietly bans use of Palantir' in critical state systems,Jogos da Copa do Mundo 2026 nesta sexta ( 19 / 06 ): onde assistir e horário,diariodonordeste.verdesmares.com.br,0.2462160736322403,
333,"Tell HN: PrimeVue no longer MIT, requires $799 license",Disney Celebrates America : What to expect on July 3 and 4 as ABC marks America 250th anniversary,abc7ny.com,-0.02730599045753479,
354,Ask HN: MCP Native Tools?,"Oshyn Launches MCP Server , Bringing No - Cost DXP Strategy Tools Directly to AI Assistants",finanznachrichten.de,0.5245642066001892,
342,"EDDI – sovereign AI orchestrator, now OpenSSF Gold and a UN (UNIDO) partner",Plenty of free - agent talent out there if the Flyers are interested,delcotimes.com,0.12248237431049347,
360,The fat cats of state government,"Gombe Governor : Strong Local Governments Key to Security , Democracy - Latest News In Nigeria , Nigeria News Today , Your Online Nigerian Newspaper",nigerianeye.com,0.31411606073379517,
384,Study Reveals How Leukemia Cells Enter and Damage Lungs,Only Connect,tvguide.co.uk,0.04962148517370224,
