cluster,hn_title,news_title,news_domain,cosine,same_event,adjudicator
10741,Legionnaires' Disease Outbreak on the Upper East Side of Manhattan,Legionnaire disease found in California government office,nypost.com,0.665,0,LLM (Claude); authors to verify
1340,Claude Fable 5: Why Anthropic's Most Powerful AI Was Suspended?,Europe AI Reality : Practice Outpaces Policy and Reviews,medscape.com,0.442,0,LLM (Claude); authors to verify
11070,Agent Data Injection: Arbitrary Click Attack Against Web Agents,The WebMCP Tools You Expose To Agents Can Be Used To Hijack Them,searchenginejournal.com,0.616,0,LLM (Claude); authors to verify
4665,The Egg Bandits Made a Thousand Times the Fine They Just Paid for Price Fixing,Egg producers reach federal and state settlement over allegations of price - fixing,cbsnews.com,0.603,1,LLM (Claude); authors to verify
195,La empresa que quiere cambiar Cómo funciona el dinero digital,Video : EN VIVO : NORUEGA VS . FRANCIA REACCIONES por ATV Deportes,deperu.com,0.453,0,LLM (Claude); authors to verify
2726,American Pride Falls to 25-Year Record Low,American Pride Plunges to Record Low Under Trump,thedailybeast.com,0.699,1,LLM (Claude); authors to verify
3386,Highlights from Git 2.55,Git 2 . 55 . 0 released,lwn.net,0.614,1,LLM (Claude); authors to verify
7137,Meta's woes deepen in India as child abuse ads on Instagram draw government ire," [ Tech Thoughts ] Meta Instagram problems with child sexual abuse materials , AI deepfakery",rappler.com,0.707,1,LLM (Claude); authors to verify
12943,Can you get a job at Bending Spoons?,"Bending Spoons only hired 0 . 04 % from its 800 , 000 job applications last year",fortune.com,0.699,1,LLM (Claude); authors to verify
12278,Mathematical texts from a Maya site in Guatemala identify an ancient astronomer,We finally know the name of a Maya mathematician,scientificamerican.com,0.736,1,LLM (Claude); authors to verify
1531,First Impressions of Claude Fable,"Claude Fable 5 is back , but Im sticking with Opus 4 . 8 for daily work : 5 reasons why",zdnet.com,0.566,1,LLM (Claude); authors to verify
1614,Google caps Meta's Gemini use as AI demand strains capacity,Google restricts Meta access to AI Gemini – Shafaqna English | International Shia News & Fatwas,en.shafaqna.com,0.465,1,LLM (Claude); authors to verify
8044,Speech Recognition and TTS in less than 500kb,"Local , CPU - Friendly , High - Quality TTS ( Text - to - Speech ) with Kokoro",ariya.io,0.612,0,LLM (Claude); authors to verify
13575,Microsoft's Secure Boot has been broken for a decade and no one noticed,Forgotten Microsoft - Signed Bootloaders Let Hackers Bypass Secure Boot For 11 Years,hothardware.com,0.746,1,LLM (Claude); authors to verify
